
processed 48408 tokens with 36316 phrases; found: 38260 phrases; correct: 18841.
accuracy:  67.99%; (non-O)
accuracy:  68.95%; precision:  49.24%; recall:  51.88%; FB1:  50.53
               WS: precision:  49.24%; recall:  51.88%; FB1:  50.53  38260




W     B   I
Nhẩm	0.00017551377822415374	0.00014903770041463686
nhem	0.00013830154796447877	0.00020437309176565447
Trưởng	0.00012579380037462104	0.00021227141789116589
hầm	0.00011189394495002377	0.00012340644937119697
con	0.0001961304125959329	0.0001306568008925237
Sét	0.00016303378665322545	0.00011149877587689581
Sầu	0.0001337897274624468	0.00020139894238244664
chừng	0.00011791315979876242	0.00011275293714856805
khớp	0.00012189211678539082	0.00010919864903144909
Lần	0.00013299475342694398	0.00010178500417661126
mẹ	0.00013273591105828308	9.20631300575586e-05
Còn	0.00017111497300160758	0.000108241271118472
choắt	0.00011600549836774887	8.619904653935953e-05
thều	0.00016044472809299555	0.00021838379891005256
Tọa	0.00015833460574060274	8.892231980766506e-05
dấy	0.00016534456870717377	0.00014188146395253563
lạng	0.00013198763682440882	0.00012054329494141487
lắp	0.00016101721895080408	0.0002197325252888748
dửng	0.00014072538640622675	0.00018839403093657506
mươi	0.00011807201030478199	0.00018926038729520303
nhốt	0.0001348317875535613	0.00010346013320840167
phên	0.00014617298301216523	0.00015324796068614909
ngun	0.00015012357448345115	0.00014911488691801776
khói	0.00015080031286693603	0.00017145232584056972
Đích	0.00015323894282287897	0.0002159134424594732
vẩn	0.00011385620096803428	0.00015386305657142323
Nhiễu	0.00017411572221251892	8.402512516722986e-05
gông	0.00015712437786861985	0.00010485944393317678
nấn	0.00014254257414898913	0.00014562933914697524
nhãn	0.0001546996168612765	0.0001691843242339803
khá	0.00016001410870258897	0.0001469784034229615
chằng	0.0001560894093680709	0.00015189080947394877
thối	0.00014698403041541169	0.00018698216712358462
xỉn	0.00012019321942868272	0.0001319938541760014
Vay	0.0001735650536925976	0.00011763355421459314
tới	0.00015659346788086012	9.192879184481639e-05
Lai	0.0001429096209079545	0.00019091786796953113
triền	0.000110934653875714	0.000216046608566608
cáng	0.00012116528938201272	8.371047747924333e-05
chòng	0.00016111524759116952	0.00013136783017176986
lài	0.00013251516555298263	0.00011247243030450335
Ghen	0.0001533431449181316	0.00016251020476369996
Giáng	0.00013376976136139748	0.00018490030748184776
sưu	0.00014612885281773105	0.0001749423070363187
cám	0.0001112958942241019	0.00017684553969046397
Anh	0.00018170743898992598	0.00012134938387154495
ta	0.00014641973556009833	8.325426684068876e-05
ngăm	0.0001294550556532901	0.0001129978502297233
lim	0.0001461636302293538	0.00011228485412684709
Cay	0.00017557777077133521	0.00015507890565030676
chứa	0.00011035758526277065	9.187267921089306e-05
hông	0.00011566871235577211	8.698818457177006e-05
Quầy	0.0001479356625200506	0.00011235491741186684
Xây	0.00012120475418111852	9.730657816295368e-05
chuốc	0.00012722520287576959	0.00018594990421696826
Đồ	0.00014080998262316265	9.661214464964407e-05
cưng	0.0001498561441873252	0.0001568199749944685
Phu	0.00018071033144665723	0.00012813811284773674
lã	0.0001485621898554911	9.950204552268759e-05
rung	0.00015393947066645613	0.00021047448101202575
ghẹo	0.00015312099790724124	0.0002064525404005787
Khỏe	0.00016589008261618974	8.536041660072318e-05
tỏa	0.0001325081880331279	0.00011764090655279017
mái	0.00011186233048570747	0.00012271367386058698
Khỏi	0.00015717198707413763	0.0001922001617643836
Băng	0.00015181986186996331	0.00016407934546943203
Quản	0.00012460271164312022	0.0001257299691697994
thiều	0.00016476604712491107	0.00014984615933806046
nồi	0.00014232598420814286	0.00011808452392142811
nhột	0.0001390431951971504	9.910377400602226e-05
Mận	0.00014141470970405575	0.00020301344142771398
hờn	0.0001362306956483271	9.614455451666594e-05
thứ	0.0001390690373342363	0.0001392193186836996
lận	0.00012447871295417654	9.747147480716193e-05
đương	0.0001499985444390746	0.00010130463638705226
Va	0.0001352317842053857	0.00014847080125783574
chinh	0.00015306129662845592	0.00020726420166720572
kiệm	0.0001585002718806575	0.00019040684575131092
tỏng	0.00012981232463878705	0.00014766963305677704
Cang	0.000136546647155804	0.000160206915000733
trọc	0.00014819035909806487	0.00020238824347920258
choèn	0.00015978662973195474	0.00015064410518049568
vây	0.00012381624965735296	0.00019892204841130145
giặc	0.000150346239140426	0.00016740457495242322
Kiểu	0.00013702632540259173	0.00010389758925796078
rợp	0.00016136728151069108	0.0001214749318880801
vẫn	0.00011675968827543656	0.00011893839135990876
cút	0.0001404533561590487	0.00011294862793044796
ươm	0.0001292834924582984	0.00012332630958245352
DAO	0.00013981023037904947	0.00013670716231224976
ngộn	0.0001452017753210104	9.280983958878908e-05
Họp	0.00015903713863399415	8.665364978571757e-05
Phát	0.0001489147121926554	0.00014667003859272006
Thản	0.00017115575923010406	0.00014300967935995407
tách	0.00013330415175202351	0.0001004548833163436
lưỡng	0.0001403231248330063	9.765062918586308e-05
nẻ	0.00012934023796041405	0.00013541857211393587
Mái	0.00015097625090645063	0.00018810299242949307
trảm	0.000136647466428975	0.000168957022902784
hóng	0.00012349460325549363	0.00015869095106038907
đợi	0.00013879568582898295	0.00010433644216468316
ngọn	0.000162413051255822	8.790267742550401e-05
khoắng	0.000154930728326466	9.249025566948481e-05
trộm	0.0001396698053508459	0.0001546436583668011
chao	0.0001496981902404789	0.0001709127925282092
nhắc	0.00015838289519845837	0.00015432066448693848
tuyển	0.00016148009073673218	0.0002249256627527204
trơn	0.0001646539969326496	0.0001022323972342219
Ngã	0.00015279053703910964	0.00010435380342562576
